municipality_key,municipality,area,population
05754016,Harsewinkel; Die Mähdrescherstadt,100.59,25575
05512000,Bottrop; Stadt,100.62,117311
05154032,Kevelaer; Stadt,100.64,27891
06634011,Knüllwald,100.67,4364
10046114,Nohfelden,100.82,9826
05766044,Lemgo; Stadt,100.85,40345
05366044,Zülpich; Stadt,101.01,20597
05770024,Minden; Stadt,101.12,81857
09372171,Waldmünchen; St,101.17,6607
08436081,Wangen im Allgäu; Stadt,101.35,26956
04012000,Bremerhaven; Stadt,101.53,113173
08128014,Boxberg; Stadt,101.71,6662
12073085,Brüssow; Stadt,101.81,1759
06535011,Lauterbach (Hessen); Kreisstadt,101.98,13852
03458003,Dötlingen,102.02,6380
14523320,Plauen; Stadt,102.11,63372
03351010,Faßberg,102.31,6292
15087165,Gerbstedt; Stadt,102.31,6881
03153012,Seesen; Stadt,102.32,19125
05162008,Grevenbroich; Stadt,102.42,63922
03252006,Hameln; Stadt,102.53,57394
03159026,Osterode am Harz; Stadt,102.54,21316
07332002,Bad Dürkheim; Stadt,102.55,18576
03453012,Molbergen,102.56,9201
14524330,Zwickau; Stadt,102.58,86592
15088295,Petersberg,102.68,9332
05570028,Oelde; Stadt,102.77,29210
03241002,Barsinghausen; Stadt,102.81,34327
14730310,Torgau; Stadt,102.82,19625
03457018,Rhauderfehn,102.93,18341
15085110,Falkenstein/Harz; Stadt,102.97,5166
05770012,Hille,102.99,15374
16073112,Königsee; Stadt,103.01,7277
03403000,Oldenburg (Oldenburg); Stadt,103.09,170389
03459003,Bad Essen,103.33,15982
09577173,Treuchtlingen; St,103.38,12951
14730160,Laußig,103.42,3543
03241016,Sehnde; Stadt,103.58,23769
12065251,Oberkrämer,103.63,11860
15083490,Sülzetal,103.72,8856
09576122,Greding; St,103.73,7075
09375190,Regenstauf; M,103.76,16224
03458009,Hatten,103.78,14440
09377154,Tirschenreuth; St,103.95,8594
14628060,Dippoldiswalde; Stadt,103.99,14096
06631009,Fulda; Stadt,104.05,68462
08128082,Niederstetten; Stadt,104.05,4836
03157001,Edemissen,104.12,12502
12060020,Bernau bei Berlin; Stadt,104.17,42054
16063105,Eisenach; Stadt,104.17,41806
08127076,Schwäbisch Hall; Stadt,104.19,41141
03460002,Damme; Stadt,104.39,17366
05966012,Finnentrop,104.42,16780
06534021,Wetter (Hessen); Stadt,104.53,8940
14730330,Wermsdorf,104.62,5162
12071244,Kolkwitz/Gołkojce,104.68,9297
12072002,Am Mellensee,104.68,6965
08326012,Donaueschingen; Stadt,104.69,22150
03251012,Diepholz; Stadt,104.7,17192
13076153,Wittendörp,104.73,2892
16068063,Buttstädt,104.8,6673
06435028,Steinau an der Straße; Brüder-Grimm-Stadt,104.86,10236
05513000,Gelsenkirchen; Stadt,104.94,260126
16070004,Arnstadt; Stadt,104.99,27330
03360029,Wriedel,105.03,2322
08127075,Schrozberg; Stadt,105.21,5863
05770032,Porta Westfalica; Stadt,105.22,35658
08235079,Bad Wildbad; Stadt,105.22,10397
07111000,Koblenz; Stadt,105.25,113638
03252001,Aerzen; Flecken,105.26,10472
03353031,Seevetal,105.33,41931
16066063,Schmalkalden; Kurort; Stadt,105.38,19555
03151009,Gifhorn; Stadt,105.4,42993
05566068,Ochtrup; Stadt,105.63,19893
16066042,Meiningen; Stadt,105.64,24538
03454054,Twist,105.67,9554
06636006,Hessisch Lichtenau; Stadt,105.72,12360
05382020,Hennef (Sieg); Stadt,105.89,47400
08225109,Walldürn; Stadt,105.91,11612
05558004,Ascheberg,106.32,15602
03452019,Norden; Stadt,106.33,24855
03451008,Wiefelstede,106.5,16167
05570016,Drensteinfurt; Stadt,106.6,15607
06440005,Butzbach; Friedrich-Ludwig-Weidig-Stadt,106.6,26660
12064029,Altlandsberg; Stadt,106.6,9654
13076142,Vellahn,106.7,2771
06532011,Haiger; Stadt,106.73,19321
06611000,Kassel; documenta-Stadt,106.79,200406
